OBJECT,FEATURE,SYNONYM,RELATION,TYPE,ATTRIBUTE,IEEE-754
floating-point-multiplier,fraction-multiplication,,is-a-operation,bool,"yes,no",optional
floating-point-multiplier,sticky bit generation,,is-a-operation,bool,"yes,no",optional
floating-point-multiplier,integer-multiplier,fraction multiplier,is-a-subfunction,bool,"yes,no",optional
floating-point-divider,latency,,is-a-property,number,number,optional
floating-point-divider,look up table,rom,is-a-subfunction,bool,"yes,no",optional
floating-point-divider,dw_fp_divide,designware floating point divider,is-a-component,bool,"yes,no",optional
floating-point-divider,prenormalizer,"pre-normalize,denormalization",is-a-subfunction,bool,"yes,no",optional
floating-point-divider,postnormalizer,"post-normalize,normalization",is-a-subfunction,bool,"yes,no",optional
floating-point-divider,exponent difference ,,is-a-operation,bool,"yes,no",optional
floating-point-divider,integer-divider,fraction divide,is-a-subfunction,bool,"yes,no",optional
floating-point-divider,quotient,,is-a-property,bool,"yes,no",optional
floating-point-divider,dividend,,is-a-property,bool,"yes,no",optional
square-root,latency,,is-a-property,number,number,optional
square-root,shift/subtract,,is-a-algorithm,bool,"yes,no",optional
fused-multiply-add,latency,,is-a-property,number,number,optional
floating-point-compare,dw_fp_compare,designware compare,is-a-component,bool,"yes,no",optional
floating-point-compare,latency,,is-a-property,number,number,optional
clock,clock signal,clk,is-a-signal-label,text,text,optional
clock,frequency,mhz,is-a-property,number,number,optional
reset,reset signal,"rst,resetn",is-a-input-label,text,text,optional
reset,reset polarity,"active low reset,active high reset",is-a-property,set,"active low,active high",optional
integer-multiplier,latency,stages,is-a-property,number,number,optional
integer-multiplier,wallace tree,,is-a-implementation,bool,"yes,no",optional
integer-multiplier,carry save adder,,is-a-implementation,bool,"yes,no",optional
integer-multiplier,booth's algorithm,,is-a-algorithm,bool,"yes,no",optional
integer-divider,binomial expansion,,is-a-algorithm,bool,"yes,no",optional
integer-divider,newton-raphson iterative method,,is-a-algorithm,bool,"yes,no",optional
integer-divider,squaring ,square,is-a-subfunction,bool,"yes,no",optional
integer-divider,cubic,cube,is-a-subfunction,bool,"yes,no",optional
integer-divider,integer-multiplier,,is-a-component,bool,"yes,no",optional
integer-adder,carry save adder,csa,is-a-implementation,bool,"yes,no",optional
